cid,category
2295,"[""Children's stories, Australian.""]"
1630,"[""Children's stories, Canadian""]"
5200,"[""Children's stories, Canadian.""]"
4203,"[""Children's stories, Chilean""]"
238,"[""Children's stories, Danish""]"
707,"[""Children's stories, English""]"
1817,"[""Children's stories, English.""]"
1723,"[""Children's stories, French""]"
1378,"[""Children's stories, German""]"
706,"[""Children's stories, Irish""]"
5544,"[""Children's stories, Japanese""]"
4915,"[""Children's stories, New Zealand""]"
5723,"[""Children's stories, Norwegian""]"
2395,"[""Children's stories, Portuguese""]"
5132,"[""Children's stories, Russian""]"
554,"[""Children's stories, Spanish""]"
641,"[""Children's stories.""]"
5176,"[""Children's television programs""]"
1118,"[""Children's writings, American""]"
4526,"[""Children's writings, American.""]"
4204,"[""Children's writings, English.""]"
5459,"[""Commedia dell'arte""]"
4275,"[""Crohn's disease""]"
528,"[""Dawson's Creek (New England : Imaginary place)""]"
3767,"[""Drizzt Do'Urden (Fictitious character)""]"
1261,"[""Foucault's pendulum""]"
2851,"[""Frankenstein's monster (Fictitious character)""]"
4366,"[""Governors' spouses""]"
5419,"[""Illusions d'optique""]"
4972,"[""Lord's prayer""]"
4018,"[""Mariage d'adolescents - États-Unis""]"
3670,"[""Noah's ark in art.""]"
4367,"[""Noah's ark""]"
5706,"[""O'Keeffe, Georgia""]"
5664,"[""O'Neal, Freddie (Fictitious character)""]"
3727,"[""Painters' spouses""]"
5986,"[""Presidents' Day""]"
2619,"[""Presidents' spouses""]"
2119,"[""Prime ministers' spouses""]"
973,"[""Valentine's Day""]"
407,['.Human skeletons']
4112,['0']
4461,['0Islands']
5562,['1. Arctic']
5368,['101 dalmatians (Motion picture)']
1921,['11030 - fiction in English - 1900-1945 - 60030 - texts']
2239,['11030 - short stories in English - p1030 - Canadian writers - 1945- - 60030 - texts']
4545,['1500-1599']
6198,['1800-1899']
3417,['1900-1999']
2,['1940-1949']
3503,['20th century general fiction']
5099,['24 (Television program)']
4663,['35mm cameras']
2009,['364614153']
5026,['401(k) plans']
1053,['87th Precinct (Imaginary place)']
1899,['A Grow and Learn Library']
4595,"['A True Story Of Greed, Lust And A Murderous Wife']"
6406,['AIDS (Disease) in children']
286,['AIDS (Disease)']
2033,['AMERICAN BOOK AWARD.']
5885,['ANIMALS THROUGH THE AGES.']
3330,['ANIMAUX SAUVAGES.']
6186,['APA psychotherapy videotape series IV']
3839,['ART']
2963,['ASP (Computer network protocol)']
2645,['AWK (Langage de programmation)']
4845,"['Aanhalings, Engels']"
2087,['Aardvark']
1293,['Abandoned children']
4311,['Abandoned houses']
2797,['Abbeys']
3901,['Abbreviations']
2932,['Abdomen']
938,['Abduction']
2691,['Abduction.']
4900,['Abenaki Indians.']
1974,['Aberdeen (Scotland)']
4047,['Ability']
3404,['Ability.']
6421,['Abnormal reflexes']
2806,"['Abnormalities, Human']"
1373,['Abolitionists']
3267,['Aboriginal Australian teachers']
223,['Aboriginal Australians']
5309,['Aboriginal Tasmanians']
4052,['Aboriginal']
210,['Abortion']
3759,['Abraham Lincoln']
5708,"['Abscam Bribery Scandal, 1980-']"
4368,['Absence and presumption of death']
4502,['Absentee mothers']
4995,['Absolutely fabulous (Television program)']
4778,['Abstracting']
635,['Abused children']
1131,['Abused wives']
2994,['Abused women']
316,['Abusive men']
1818,['Acacia']
2508,['Academic achievement']
3202,['Academic freedom']
999,['Academic writing']
487,['Acapulco (Mexico)']
2091,['Accelerated Reader (SHS)']
720,['Accelerated readers']
1299,['Accident victims']
4521,"['Accidental deaths, suicides, and homicides']"
436,['Accidents']
3275,['Accomplices']
4816,['Accordion']
2843,['Accountants']
3650,['Accounting']
4478,['Acculturation']
5894,['Achievement motivation in women']
2445,['Achievement motivation']
2476,['Achievement motivation.']
3091,['Achieving goals']
5157,['Achilles (Greek mythology)']
3393,['Achilles tendon']
5716,['Acids']
3681,"['Ackroyd, Roger (Fictitious character)']"
1313,['Acquaintance rape']
6048,['Acquittals']
6087,['Acrophobia']
4034,['Acrylic painting']
4277,['Acteurs de cinéma - Portraits']
547,['Acting']
3068,['Acting.']
1117,['Action and adventure films']
3589,['Action and adventure']
5772,['Action in art']
851,['Action']
5005,['Actions (Titres de société) - États-Unis']
3464,['Active learning']
4395,['Activities']
5375,['Activity programs in education']
5842,['Actor (Film and stage)']
3220,['Actors United States Portraits']
2442,['Actors and actresses']
129,['Actors']
2079,"['Actors, Jewish']"
1,['Actresses']
3308,['Actualisation de soi']
881,['Acupressure']
2666,['Adams family (Fictitious characters)']
4907,"['Adams, Nick (Fictitious character)']"
3252,['Adaptability (Psychology)']
5611,['Adaptation (Biology).']
5727,['Adaptation (Physiologie)']
3371,['Adaptation (Physiology)']
2997,['Adapted books']
3050,['Addams family (Fictitious characters)']
3186,['Addicts']
5248,['Addition']
6342,['Adel - Belletristik']
4281,['Adel']
1049,['Adirondack Mountains (N.Y.)']
2000,['Adjustment (Psychology) in adolescence']
1815,['Adjustment (Psychology)']
2655,['Adjustment disorders']
3902,['Administración']
2183,['Administration of estates']
3822,['Administrative law']
2812,['Admirals']
305,['Adobe Photoshop']
3509,['Adobe Premiere']
45,['Adolescence']
2090,['Adolescent girls']
1213,['Adolescent psychology']
4550,['Adolescent psychopathology']
5331,['Adolescentes']
195,['Adopted children']
1855,['Adoptees']
785,['Adoption']
5876,['Adult child abuse victims Canada Biography']
1045,['Adult child abuse victims']
1441,['Adult child sexual abuse victims']
4828,['Adult children of alcoholics']
1704,['Adult children of dysfunctional families']
951,['Adult children']
776,['Adult education']
4011,['Adult literacy books']
3971,['Adult new readers']
82,['Adulteresses']
362,['Adultery']
6354,['Adulthood']
4867,['Advent']
98,['Adventure and adventurers']
2505,['Adventure and adventures']
3257,['Adventure and thriller']
2690,['Adventure fiction']
1446,['Adventure games']
233,['Adventure stories']
1207,"['Adventure stories, American']"
4683,"['Adventure stories, Australian']"
1023,"['Adventure stories, English']"
2376,"['Adventure stories, French']"
4780,"['Adventure stories, German']"
2362,['Adventure stories.']
243,['Adventure']
3525,['Adventures and adventurers']
2849,['Advertising executives']
5679,['Advertising fliers']
5063,['Advertising layout and typography']
4524,['Advertising specialties']
1412,['Advertising']
2408,"['Advertising, Direct-mail']"
6211,['Advertising.']
484,['Advice columnists']
3049,['Aegean Sea']
3554,['Aeneas (Legendary character)']
5922,['Aerial photography']
5344,['Aeronautics in medicine']
465,['Aeronautics']
1834,"['Aeronautics, Commercial']"
2957,"['Aeronautics, Military']"
63,['Aerospace engineers']
6407,['Aesop’s fables']
2224,['Aesthetics']
5890,"['Aesthetics, Australian']"
5682,"['Aesthetics, Medieval']"
1399,"['Aesthetics, Modern']"
5418,['Aesthetics.']
770,['Affirmations']
3059,['Affirmations.']
1330,['Afghan Wars']
229,['Afghanistan']
4898,['Afghans (Coverlets)']
6274,['Afghans']
446,['Africa']
3303,"['Africa, Central']"
4853,"['Africa, East']"
3139,"['Africa, French-speaking West']"
1259,"['Africa, North']"
5321,"['Africa, Southern']"
4549,"['Africa, Sub-Saharan']"
1754,"['Africa, West']"
2899,['African American artists']
580,['African American authors']
4354,['African American baseball players']
2855,['African American basketball players']
1880,['African American boys']
1538,['African American children']
5731,['African American comedians']
2591,['African American cooking']
4548,['African American explorers']
1145,['African American families']
3113,['African American families.']
4733,['African American farmers']
5631,['African American feminists']
156,['African American fiction']
2617,['African American football players']
5034,['African American gays']
3409,['African American generals']
2313,['African American girls']
4678,['African American intellectuals']
3653,['African American intellectuals.']
1182,['African American journalists']
4456,['African American legislators']
172,['African American men']
2094,['African American men.']
5951,['African American musicians']
5905,['African American neighborhoods']
4871,['African American novelists']
5642,['African American nurses']
1886,['African American poets']
1348,['African American police']
5369,['African American school children']
2996,['African American singers']
1427,['African American soldiers']
4802,['African American tales']
5998,['African American teenage boys']
2724,['African American teenage girls']
5215,['African American teenagers']
1282,['African American women cooks']
601,['African American women']
3154,['African American young men']
445,['African Americans in radio broadcasting']
202,['African Americans']
3754,['African National Congress']
4259,['African fiction (English)']
6184,['African fiction (English).']
3748,['African fiction (French)']
843,['African fiction (Portuguese)']
988,['African fiction']
3538,['African literature (Portuguese)']
3563,['African poetry']
4926,['Africans']
5685,['Afrikaans literature']
2976,['Afrikaners']
3742,['Afro-American women']
432,['Afro-Americans']
2829,['Afternoon teas']
3413,['Aged consumers']
4632,['Aged gay men']
1234,['Aged men']
5398,['Aged women']
2101,['Aged']
6036,"['Agee, - 1909-1955 - Journeys - Alabama']"
2075,['Aggada']
6361,['Aggression']
4122,['Aggressive behavior in animals']
2122,['Aggressiveness (Psychology) in children']
2809,['Aggressiveness in children']
2367,['Aging parents']
863,['Aging']
3553,['Agoraphobia']
2531,['Agricultural exhibitions']
5440,['Agricultural laborers']
5720,['Agriculture and state']
5285,['Agriculture']
491,"['Ahab, Captain (Fictitious character)']"
5498,['Aidensfield (England : Imaginary place)']
1059,['Aids to navigation']
2971,['Aikido']
4014,['Air Force spouses']
3898,['Air courier service.']
5742,['Air defenses']
5962,['Air guns']
1927,['Air pilots']
3036,"['Air pilots, Military']"
6156,['Air power']
594,['Air travel']
6157,['Air warfare']
4700,['Air']
1148,['Airborne troops']
791,['Aircraft accidents']
5872,['Aircraft carriers']
6193,['Aircraft industry']
1979,['Airlines']
2766,['Airplane crash survival']
683,['Airplanes']
5388,"['Airplanes, Military']"
4891,['Akıl-Ahlaki açı']
567,['Alabama']
2308,['Aladdin (Motion picture : 1992)']
1325,"['Alamo (San Antonio, Tex.)']"
6223,['Alani']
222,['Alaska']
4586,['Alaskan Malamute']
2368,['Albania']
3545,['Albany (N.Y.)']
5015,['Albemarle County (Va.)']
448,['Alberta']
6120,['Albuquerque (N.M.)']
844,['Alcarria Plateau (Spain)']
158,['Alchemists']
1596,['Alchemy']
3665,['Alcoholic beverages']
2168,['Alcoholic beverages.']
812,['Alcoholics']
1368,['Alcoholism']
327,['Alden family (Fictitious character)']
5339,"['Aldrin, Buzz']"
5386,['Ale']
3419,['Alemán - Libros de lectura']
6058,['Alemán']
6325,['Aleutian Islands (Alaska)']
1071,['Alex (Fictitious character)']
3449,['Alexander technique']
4993,"['Alexander, Rachel (Fictitious character)']"
3731,"['Alexanderplatz (Berlin, Germany)']"
2473,['Alexandria (Egypt)']
4039,['Alexandria (Va.)']
4614,['Algebra']
4598,"['Algebras, Linear']"
1945,['Algeria']
2039,['Algerians']
5136,['Algiers (Algeria)']
5075,['Algonquian Indians']
4774,['Algonquin Provincial Park (Ont.)']
3098,['Algorithms']
3033,['Ali Baba (Legendary character)']
336,['Alice (Fictitious character : Carroll)']
6378,['Alice (Fictitious character']
3007,['Alien abduction']
4500,['Alien labor']
4648,['Alienation (Philosophy)']
340,['Alienation (Social psychology)']
267,['Aliens']
1832,['All terrain vehicles']
359,['Allegories']
3161,['Allegory']
3931,['Allemagne - Histoire - 1933-1945']
3628,['Allergy']
2134,"['Alleyn, Roderick (Fictitious character)']"
1477,['Alligators']
4868,['Allusions in literature']
1973,['Ally McBeal (Television program)']
3671,['Alm']
2471,['Alman dili']
3708,['Alman edebiyatı']
686,['Alman romanı']
1539,['Almanacs']
782,"['Almanacs, American']"
5739,"['Almanacs, American.']"
2885,"['Almanacs, Jewish']"
1928,['Almshouses']
588,['Alphabet books']
6355,['Alphabet rhymes']
1327,['Alphabet']
1893,['Alphabet.']
1482,['Alphabets']
703,['Alps']
6055,"['Alps, French (France)']"
2626,['Altantic Intracoastal Waterway']
1636,['Altenburg (Germany)']
3884,['Altered states of consciousness']
1541,['Alternative Medicine']
3669,"['Alternative comic books, strips, etc']"
4083,['Alternative histories (Fiction)']
6447,['Alternative histories']
1291,['Alternative lifestyles']
1581,['Alternative medicine']
2186,['Alternative stories']
2427,['Altruism']
5314,['Amateur radio stations']
3498,['Amazon River Region']
2218,['Amazon River Valley']
4141,['Amazons']
1943,['Ambassadors']
5918,['Amber (Imaginary place)']
615,['Ambition']
560,['Ambulance drivers']
343,['Amelia-Bedelia (Fictitious character)']
1695,['America']
4402,['American Dietetic Association']
6060,['American Literature']
2679,['American Sign Language']
4261,['American beauty (Motion picture).']
1339,['American bison hunting']
1137,['American bison']
5433,['American drama (Comedy)']
311,['American drama']
1547,['American essays']
3293,['American fiction (Fictional works by one author)']
5431,['American fiction (Fictional works by one author).']
32,['American fiction']
640,['American imprints']
3700,['American literature (Fiction).']
70,['American literature']
4338,['American loyalists']
2523,['American miscellany']
4658,['American newspapers']
3423,['American novelists']
1917,['American periodicals']
2027,['American poetry Collections']
213,['American poetry']
1540,['American poetry.']
4006,['American prose literature']
4115,['American students in Switzerland']
451,['American wit and humor']
5556,"['American wit and humor, Juvenile.']"
552,"['American wit and humor, Pictorial']"
1200,"['American wit and humor, Pictorial.']"
1377,['American wit and humor.']
3164,['Americanisms']
2193,['Americanization']
27,['Americans']
2285,['Amerikan Edebiyatı']
511,['Amerikan romanı']
5837,['Amerotke (Fictitious character)']
611,['Amish']
1490,['Amitié']
1329,['Amityville (N.Y.)']
481,['Amnesia']
4088,['Amnesiacs']
6281,['Amor - Ensayos']
4037,['Amour - Aspect sociologique']
2306,['Amphibians']
272,['Amputees']
550,['Amsterdam (Netherlands)']
6043,['Amsterdam']
1350,['Amulets']
4715,"['Amulets, Egyptian']"
1150,['Amusement parks']
5530,['Amusement rides']
4876,['Amusements parks']
1610,['Amusements']
1129,['Amusements.']
911,['Amyotrophic lateral sclerosis']
5803,['América del Norte']
4279,['América del Sur']
4920,['Anabolic steroids']
397,['Anal sex']
6307,['Analiza politik']
5014,['Analog science fact & science fiction']
1230,['Analyse - Critique - Recit - Sarrasine - Structural - Texte']
3191,['Analyse numérique']
4883,['Analysis (Philosophy)']
6248,['Analysis (Philosophy).']
5103,['Anansi (Legendary character)']
5018,['Anarchism']
2274,['Anarchists']
2557,['Anastasia (Motion picture)']
3945,"['Anastasia, Russian princess']"
4062,['Anatomistas / Italia / Novela / bidex']
3652,['Anatomy']
965,"['Anatomy, Artistic.']"
6100,"['Anatomy, Regional']"
1237,['Andalusia (Spain)']
4978,['Andersonville (Ga.)']
5968,['Andes Region']
824,['Androgyny (Psychology)']
460,['Androids']
5511,['Andy Griffith show (Television program)']
497,['Anecdotes']
1580,['Anecdotes.']
4919,['Anesthesia in dentistry']
6390,['Anesthésie (Médecine vétérinaire)']
4293,['Angel (Fictitious character : Whedon)']
350,['Angels']
2491,['Anger in children']
769,['Anger']
1757,['Anger.']
4239,['Angkor (Extinct city)']
1559,['Anglais (Langue) - Dictionnaires']
4994,['Anglais (Langue) - Grammaire']
2741,['Anglais (Langue) - Idiotismes - Dictionnaires']
5326,['Anglais (Langue) - Mots et locutions - Dictionnaires anglais']
1661,['Anglais (Langue) - Phonétique']
4235,['Anglais (Langue) - Rhétorique']
1284,['Anglican Communion']
4288,['Anglican converts']
6139,['Anglicans']
3518,['Anglicists']
5940,['Anglo-Arab horse']
5710,['Anglo-Indian fiction']
319,['Anglo-Saxons']
5932,['Angola']
5520,['Angria (Imaginary place)']
1080,"['Angstrom, Harry (Fictitious character)']"
2755,['Animal Ark (Imaginary organization)']
4210,['Animal behavior therapy']
579,['Animal behavior']
2468,['Animal droppings']
2386,['Animal experimentation']
752,['Animal ghosts']
1171,['Animal heroes']
5400,['Animal industry']
3866,['Animal intelligence']
5853,['Animal intelligence.']
4837,['Animal painting and illustration']
5330,['Animal products']
1069,['Animal rescue']
425,['Animal rights']
524,['Animal sanctuaries']
3294,['Animal shelters']
3788,['Animal sounds']
1772,['Animal stories']
6158,['Animal training']
2536,['Animal traps']
80,['Animal welfare']
875,['Animals in art']
5620,['Animals in literature']
47,['Animals']
730,"['Animals, Fossil']"
716,"['Animals, Mythical']"
5080,"['Animals, Mythical, in art']"
933,"['Animals, Treatment of']"
1867,['Animals-Bat']
5449,['Animals-Bears-Fiction']
2507,['Animals-Cats']
4145,['Animaniacs (Television program)']
403,['Animated films']
4945,['Animated television programs']
2316,['Animation (Cinematography)']
6399,['Ankara (Turkey)']
5347,['Annapolis (Md.)']
2784,['Annapurna']
4694,['Annuals']
1750,['Annuities']
3558,['Anonymous letters']
5348,['Anonymous writings']
6229,['Anorexia in adolescence']
2225,['Anorexia nervosa']
1861,['Anorexia']
3078,['Antarctic Regions-Fiction']
1017,['Antarctica']
825,['Anthologies']
3462,['Anthropic principle']
830,['Anthropological Essay - Woman']
295,['Anthropologists']
1761,['Anthropology Juvenile fiction']
2069,['Anthropology']
5954,"['Anthropology, Cultural']"
4579,['Anthropomorphism']
1361,['Anthroposophy']
1060,['Anti-Nazi movement']
4349,['Anti-apartheid movements']
1362,['Anti-clericalism']
1072,['Anti-communist movements']
6219,['Anti-rape movement']
6375,['Anti-submarine warfare']
2656,['Antiautoritäre Erziehung']
463,['Antichrist']
5091,['Antidepressants']
4979,['Antietam']
5670,['Antiheroes']
3581,['Antinuclear movement']
255,['Antiquarians']
1262,['Antique dealers']
534,['Antiques & Collectibles']
480,['Antiques business']
1114,['Antiques']
214,['Antiquities']
3165,"['Antiquities, Prehistoric']"
2585,['Antiquities.']
967,['Antisemitism']
2603,['Antislavery movements']
5554,['Antlers']
4559,['Antologije - Ameriška Književnost - Kratka proza - Spremne besede']
5537,['Antonyms']
400,['Ants']
4165,['Antwerp (Belgium)']
1233,['Anxiety in children']
2450,['Anxiety']
3399,['Apache (Computer file : Apache Group)']
1214,['Apache Indians']
1470,['Apartheid']
1854,['Apartment dwellers']
968,['Apartment houses']
5717,"['Apartment houses, Cooperative']"
6427,['Apatosaurus']
2030,['Apes']
4490,['Aphorisms and apothegms']
1345,['Aphrodisiacs']
3286,['Apocalypse now (Motion picture)']
837,['Apocalyptic literature']
3290,['Apocryphal Gospels']
2309,['Apocryphal books (New Testament)']
351,['Apologetics']
5453,['Apostasy']
2712,['Apostles']
5738,['Appalachian Mountains']
475,['Appalachian Region']
806,"['Appalachian Region, Southern']"
6117,['Appaloosa horse']
5242,['Appareils électroniques']
2856,['Apparitions']
274,['Appearance (Philosophy)']
2773,['Appellate procedure']
1515,['Appetite disorders']
205,['Appetizers']
6160,['Apple 11 (Computer)']
5760,['Apple II (Computer)']
5061,['Apple growers']
1336,['Apples']
4382,['Application software']
979,['Applications for positions']
1537,['Applied ethics']
5471,['Applied photography']
1289,['Appliqué']
2221,['Apprentices']
3680,['Apprentissage - Aspect physiologique']
834,['Apprentissage']
5406,['Appropriate technology']
4762,['Aquarium fishes']
5357,['Aquariums']
5312,['Aquatic plants']
5681,['Arab Countries']
3798,['Arab countries']
5128,['Arab-Israeli Conflict']
2179,['Arab-Israeli conflict']
1870,['Arab-Israeli conflict.']
5187,['Arabian Peninsula']
2287,['Arabian horse']
3246,['Arabian nights']
4025,['Arabic fiction']
4518,['Arabic language']
369,['Arabic poetry']
1243,['Arabs']
5503,['Aramaic language']
2999,['Arapaho Indians']
6125,"['Ararat, Mount (Turkey)']"
4650,['Arbeitslosigkeit - Globalisierung - Prognose']
2003,['ArcView']
2826,['Archaeological expeditions']
2165,['Archaeological thefts']
3085,['Archaeologists']
4819,['Archaeology (Excavations)']
1042,['Archaeology']
4076,['Archaeology.']
3986,['Arche de Noé - Romans']
5325,"['Archer, Carolyn (Fictitious character)']"
4531,['Archery']
2182,['Archetype (Psychology)']
5429,['Architect-designed houses']
421,['Architects']
1578,['Architectural design']
3547,['Architecture and climate']
257,['Architecture']
1574,"['Architecture, Domestic']"
5514,['Archives']
1784,['Arctic Regions']
57,['Arctic regions']
1397,['Area 51 (Nev.)']
3787,['Arena']
5475,['Argenine literature']
426,['Argentina']
882,['Argentine fiction']
1166,['Argentine literature']
3713,"['Argentine wit and humor, Pictorial']"
5586,['Ariel (Fictitious character : Disney)']
2520,['Ariel (fictitious character)']
595,['Aristocracy (Social class)']
430,['Arithmetic']
389,['Arizona (Battleship)']
482,['Arizona']
4254,['Ark of the Covenant']
767,['Arkansas']
4799,['Arm']
2272,['Armageddon']
3195,['Armaments']
5037,['Armed Forces']
877,['Armenian Americans']
3514,"['Armenian massacres, 1915-1923']"
4934,['Arms and armor']
4517,['Arms control']
2729,['Arms race']
5081,['Army of darkness (Motion picture)']
1389,['Aromatherapy']
2169,['Aromatic plants']
2234,['Around the world in 80 days (Television program)']
3605,['Arpentage']
5364,['Arrakis (Imaginary place)']
2214,['Arranged marriage']
5052,['Arrest (Police methods)']
4813,['Arrhythmia']
2187,['Arson']
4866,['Art and literature']
5725,['Art and mental illness']
5404,['Art and mythology']
5179,['Art and religion']
2343,['Art and society']
914,['Art and technology']
2532,['Art appreciation']
5942,['Art appreciation.']
3475,['Art criticism']
4394,['Art critics']
810,['Art dealers']
5663,['Art deco']
6174,['Art et science militaires - Histoire']
639,['Art forgers']
4024,['Art historians']
1495,['Art museums']
4998,['Art nouveau.']
3477,['Art patronage']
2827,['Art populaire - États-Unis']
2046,['Art thefts']
4682,['Art thieves']
88,['Art']
3689,"['Art, American']"
4708,"['Art, Ancient']"
3559,"['Art, Austrian']"
3765,"['Art, French']"
2862,"['Art, Italian']"
1238,"['Art, Modern']"
2067,['Arthritis']
6431,['Arthur (Fictitious character : Brown)']
78,['Arthurian romances']
3745,['Arthurian romances.']
5579,['Artificial flowers']
477,['Artificial intelligence']
308,['Artificial intelligence.']
3224,['Artificial satellites']
3852,"['Artillery, Field and mountain']"
6081,['Artisans']
1594,['Artist colonies']
5696,['Artistes - États-Unis - Biographies']
105,['Artists']
4332,['Arts - Special subjects: Horror & supernatural - Encyclopaedias']
6443,['Arts and Crafts']
3053,['Arts and crafts']
2526,['Arts and religion']
4214,['Arts and society']
3751,['Arts']
5447,"['Arts, Black']"
6246,"['Arts, Modern']"
5383,['As the world turns (Television program)']
5797,['Asbestos']
3690,"['Asch, Jacob (Fictitious character)']"
443,['Aseveracion (Psicologia)']
3704,"['Ashton, Carol (Fictitious character)']"
3144,['Asia']
2781,"['Asia, Central']"
4238,"['Asia, Southeastern']"
5868,['Asianists']
3793,['Asians']
5509,['Asiatic elephant']
367,['Asien']
4751,['Aspect politique / rasuqam']
3265,['Assassination']
544,['Assassins']
2953,['Assembler language (Computer program language)']
190,['Assertiveness (Psychology)']
2460,['Assertiveness in women']
5741,['Assistance in emergencies']
4820,['Assisted suicide']
1611,"['Associations, institutions, etc']"
5111,['Assurance (Theology)']
2795,['Asterix (Comic strip)']
1393,['Asterix (Fictitious character)']
3661,['Asterix']
5744,['Asteroids']
2018,['Asthma']
5892,['Asthmatics']
944,['Astral projection']
6305,['Astrology and pets']
5033,['Astrology and sex']
1519,['Astrology']
3184,"['Astrology, Chinese']"
3549,['Astronautics in astronomy']
604,['Astronautics']
548,['Astronauts']
2256,['Astronomers']
3801,['Astronomical photography']
3800,['Astronomie - Ouvrages de vulgarisation']
95,['Astronomy']
3720,['Astrophysics']
6243,['Astrophysics.']
3660,['Astérix (Fictitious character)']
2110,['Aswan High Dam (Egypt)']
2478,['Asylums']
6161,['Atari 400 (Computer)']
5601,"['Athelstan, Brother (Fictitious character)']"
2108,['Athens (Greece)']
6099,['Athletes with disabilities']
2344,['Athletes']
6077,['Athletic clubs']
5980,['Athletics']
2937,['Atlanta (Ga.)']
1179,['Atlantic City (N.J.)']
1839,['Atlantic Ocean']
4734,['Atlantic Provinces']
5003,['Atlantic cod']
586,['Atlantis (Legendary place)']
5754,['Atlantis (Legendary place).']
637,['Atlantis']
4846,['Atlas']
3401,['Atlases']
2311,['Atlases.']
5100,['Atomic bomb victims']
149,['Atomic bomb']
6127,['Atomic bomb.']
3169,['Atomic warfare']
1531,['Attempted assassination']
330,['Attempted murder']
2949,['Attention']
2202,['Attention-deficit hyperactivity disorder']
4645,['Attention-seeking']
5617,['Attics']
2688,['Attis (God)']
353,['Attitude (Psychology)']
6151,['Attitude change in children']
3187,['Attitude change']
2436,['Attorney and client']
2484,['Au pairs']
4717,['Aubagne (France)']
5067,"['Aubrey, Jack (Fictitious character)']"
624,['Auckland (N.Z.)']
1216,['Auctioneers']
2512,['Auctions']
3818,['Audiences']
6176,['Audio-visual education']
5636,['Audio-visual materials']
168,['Audiobooks']
3454,['Audiocassettes for children']
230,['Audiocassettes']
6260,['Audiocassettte']
3697,['Aufklärung - Begriff - Quelle']
4187,['Augusta (Me.)']
354,['Aunts']
6187,['Aura']
4633,['Auschwitz (Concentration camp)']
976,['Auschwitz (Poland : Concentration camp)']
4587,['Auschwitz (Poland: Concentration Camp)']
2377,['Aussteiger']
1646,"['Austen, Kate (Fictitious character)']"
4860,"['Austen, Liz (Fictitious character)']"
3699,['Austin (Tex.)']
5856,['Austin Region (Tex.)']
4719,['Austistic children']
4407,['Australia - Description and travel']
489,['Australia']
4431,['Australian drama']
4418,['Australian essays']
200,['Australian fiction']
4814,['Australian football']
208,['Australian literature']
2764,['Australian poetry']
1015,['Australian wit and humor']
896,"['Australian wit and humor, Pictorial']"
2115,['Australianisms']
1500,['Australians']
5502,['Australien - Waldbrand - Wildpferd - Jugendbuch']
